DISTRICT,SENATE,NAME,AB 582,AB 874,SB 459,AB 603,AB 640,SB 434,AB 25,AB 515,AB 563,2016,LIFETIME
97,0,"Allen, Scott",,,,,,,,1,,11%,11%
32,0,"August, Tyler",,,,,,,,,,0%,17%
41,0,"Ballweg, Joan",,,,,,,,1,,11%,31%
64,0,"Barca, Peter",1,1,1,1,1,1,1,1,1,100%,100%
11,0,"Barnes, Mandela",1,1,1,1,1,1,1,1,1,100%,100%
77,0,"Berceau, Terese",1,1,1,1,1,1,1,1,1,100%,99%
68,0,"Bernier, Kathy",,,,,,,,1,,11%,28%
95,0,"Billings, Jill",1,1,1,1,1,1,1,1,1,100%,100%
39,0,"Born, Mark",,,,,,,,1,,11%,31%
10,0,"Bowen, David",1,1,1,1,1,1,1,1,1,100%,100%
22,0,"Brandtjen, Janel",,,,,,,,1,,11%,11%
50,0,"Brooks, Ed",,,,,,,,1,,11%,40%
60,0,"Brooks, Robert",,,,,,,,1,,11%,11%
19,0,"Brostoff, Jonathan",1,1,1,1,1,1,1,1,1,100%,100%
81,0,"Considine, Dave",1,,,1,1,,1,,1,100%,100%
83,0,"Craig, Dave",,,,,,,,,,0%,21%
35,0,"Czaja, Mary",,,,,,,,,,0%,20%
92,0,"Danou, Chris",1,1,1,1,1,1,1,1,1,100%,98%
94,0,"Doyle, Steve",1,1,1,1,1,1,1,1,1,100%,93%
99,0,"Duchow, Cindi",,,,,,,,1,,13%,13%
87,0,"Edming, James",,,,,,,,1,,11%,11%
58,0,"Gannon, Bob",,,,,,,,,,11%,11%
90,0,"Genrich, Eric",1,1,1,1,1,1,1,1,1,100%,100%
18,0,"Goyke, Evan",1,1,1,1,1,1,1,1,1,100%,100%
85,0,"Heaton, Dave",,,,,,,,1,,11%,11%
46,0,"Hebl, Gary",1,1,1,1,1,1,1,1,1,100%,99%
79,0,"Hesselbein, Dianne",1,1,1,1,1,1,1,1,1,100%,100%
54,0,"Hintz, Gordon",1,1,1,1,1,1,1,1,1,100%,97%
33,0,"Horlacher, Cody",,,,,,,,1,,11%,11%
13,0,"Hutton, Rob",,,,,,,,,,0%,25%
2,0,"Jacque, André",,,,,,,,1,,11%,27%
37,0,"Jagler, John",,,,,,,,1,,11%,31%
28,0,"Jarchow, Adam",,,,,,,,1,,11%,11%
17,0,"Johnson, LaTonya",1,1,1,1,1,1,1,1,1,100%,100%
43,0,"Jorgensen, Andy",1,1,1,1,1,1,1,1,1,100%,92%
47,0,"Kahl, Robb",1,1,1,1,1,1,1,1,1,100%,94%
61,0,"Katsma, Terry",,,,,,,,1,,11%,11%
61,0,"Kerkman, Samatha",,,,,,,,1,,11%,27%
12,0,"Kessler, Frederick",1,1,1,1,1,1,1,1,1,100%,94%
1,0,"Kitchens, Joel",,1,1,,,,,1,,33%,33%
38,0,"Kleefisch, Joel",,,,,,,,1,,11%,19%
24,0,"Knodl, Dan",,,,,,,,1,,22%,31%
30,0,"Knudson, Dean",,,,,,,,1,,11%,29%
44,0,"Kolste, Debra",1,1,1,1,1,1,1,1,1,100%,100%
14,0,"Kooyenga, Dale",,,,,,,,,,0%,20%
59,0,"Kremer, Jesse",1,,,,,,,1,,25%,25%
72,0,"Krug, Scott",1,1,,,,,,1,,33%,37%
84,0,"Kuglitsch, Mike",,,,,,,,1,,11%,26%
69,0,"Kulp, Bob",,,,,,,,1,,11%,27%
67,0,"Larson, Tom",,,,,,,,1,,11%,30%
31,0,"Loudenbeck, Amy",,,,,,,,,,0%,21%
88,0,"Macco, John",,,,,,,,1,,11%,11%
66,0,"Mason, Cory",1,1,1,1,1,,,,1,100%,100%
74,0,"Meyers, Beth",1,1,1,1,1,,1,1,1,89%,89%
73,0,"Milroy, Nick",1,1,1,1,1,1,1,1,1,100%,100%
56,0,"Murphy, Dave",,,,,,,,1,,11%,31%
36,0,"Mursau, Jeffrey",,,,,,,,1,,11%,37%
29,0,"Murtha, John",,,,,,,,1,,11%,38%
96,0,"Nerison, Lee",,,,,,,,1,,11%,37%
98,0,"Neylon, Adam",,,,,,,,1,,11%,33%
51,0,"Novak, Todd",,,1,,,,,1,,22%,22%
89,0,"Nygren, John",,,1,,,,,1,,22%,34%
65,0,"Ohnstad, Tod",1,1,1,1,1,1,1,1,1,100%,100%
3,0,"Ott, Alvin",,,1,,,,,1,,22%,46%
23,0,"Ott, Jim",,,,,,,,1,,11%,34%
40,0,"Petersen, Kevin",,,,,,,,1,,11%,34%
93,0,"Petryk, Warren",,,,,,,,1,,11%,27%
80,0,"Pope, Sondy",1,1,1,1,1,1,1,1,1,100%,87%
75,0,"Quinn, Romaine",1,,,,,,,1,,22%,22%
7,0,"Riemer, Daniel",1,1,1,1,,1,1,,1,100%,100%
42,0,"Ripp, Keith",,,,,,,,1,,11%,48%
21,0,"Rodriguez, Jessie",,,,,,,,1,,11%,27%
55,0,"Rohrkaste, Mike",,,,,,,,1,,11%,11%
15,0,"Sanfelippo, Joe",,,,,,,,,,0%,25%
48,0,"Sargent, Melissa",1,1,1,1,1,1,1,1,1,100%,100%
53,0,"Schraa, Michael",,,,,,,,,,0%,25%
71,0,"Shankland, Katrina",1,1,1,1,1,1,1,1,1,100%,100%
20,0,"Sinicki, Christine",1,1,1,1,1,1,1,1,1,100%,99%
82,0,"Skowronski, Ken",,,,,,,,1,,14%,33%
86,0,"Spiros, John",,,,,,,,1,,11%,31%
45,0,"Spreitzer, Mark",1,1,1,1,1,1,1,1,1,100%,100%
4,0,"Steffen, David",,,,,,,,1,,11%,11%
5,0,"Steineke, Jim",,,,,,,,1,,11%,25%
57,0,"Stuck, Amanda",1,1,1,1,1,1,1,1,1,100%,100%
78,0,"Subeck, Lisa",1,1,1,1,1,1,1,1,1,100%,100%
34,0,"Swearingen, Rob",,,,,,,,1,,11%,31%
6,0,"Tauchen, Gary",,,,,,,,1,,11%,35%
76,0,"Taylor, Chris",1,1,1,1,1,1,1,1,1,100%,100%
52,0,"Thiesfeldt, Jeremy",,,,,,,,1,,11%,27%
25,0,"Tittl, Paul",,,,,,,,1,,11%,31%
49,0,"Tranel, Travis",,,,,,,,1,,11%,27%
70,0,"VanderMeer, Nancy",,,,,,,,1,,11%,11%
27,0,"Vorpagel, Tyler",,,,,,,,1,,11%,11%
63,0,"Vos, Robin",,,,,,,,1,,11%,22%
91,0,"Wachs, Dana",,1,1,1,1,1,1,1,1,100%,100%
62,0,"Weatherston, Thomas",,,,,,,,1,,11%,27%
16,0,"Young, Leon",1,1,1,1,1,1,1,1,1,100%,94%
8,0,"Zamarripa, JoCasta",1,1,1,1,1,1,1,1,1,100%,100%
9,0,"Zepnick, Josh",1,1,1,1,1,1,1,1,1,100%,93%